St,Re,Fr,R_moment_1,R_moment_2,R_moment_3,R_moment_4,mean,variance,sd,skewness,kurtosis
0.1,224,0.052,0.002157,0.13035,14.374,1586.5,0.002157,0.130345347351,0.361033720517904,305.42800434918433,93371.65555034837
3,224,0.052,0.0037903,0.47042,69.94,10404,0.0037903,0.47040563362591,0.6858612349636841,216.76224513656842,47012.251542945574
0.7,224,Inf,0.0029054,0.043499,0.822,15.551,0.0029054,0.043490558650840005,0.20854390101568543,90.58973728585528,8216.777780424005
0.05,90,Inf,0.063528,0.090653,0.46746,3.2696,0.063528,0.086617193216,0.29430799040461,17.679798648427223,420.2523228439644
0.7,398,Inf,3.6945e-4,0.0062242,0.12649,2.5714,3.6945e-4,0.0062240635066975,0.07889273418190994,257.5855423689903,66372.78451466895
2,90,0.3,0.1478,2.0068,36.249,671.67,0.1478,1.9849551600000002,1.408884367150122,12.64606757540105,165.09985567935917
0.2,90,Inf,0.081273,0.3245,3.0363,32.976,0.081273,0.317894699471,0.563821513841925,16.50481227980977,316.6692078634171
3,224,Inf,0.0057473,0.11966,2.748,63.159,0.0057473,0.11962696854271,0.34587131789541325,66.36620078902837,4409.025354192812
0.9,224,Inf,0.0030215,0.045244,0.8453,15.809,0.0030215,0.04523487053775,0.2126849090503367,87.81932849503272,7721.061612814085
0.6,398,0.052,3.1431e-4,0.0044672,0.08206,1.5077,3.1431e-4,0.004467101209223901,0.06683637639208084,274.8340458066925,75549.85448541076
0.9,90,Inf,0.091027,0.59539,7.2454,95.166,0.091027,0.587104085271,0.7662271760196189,15.748001309919253,268.5223300398147
0.3,398,Inf,3.6022e-4,0.006283,0.13546,2.9211,3.6022e-4,0.0062828702415516,0.0792645585463743,271.9895176324768,73994.80414267657
2,224,Inf,0.0044725,0.080804,1.6668,34.408,0.0044725,0.08078399674375,0.28422525704755724,72.54591309856738,5267.837189302567
1,224,0.052,0.0031238,0.36478,53.322,7795.8,0.0031238,0.36477024187356,0.6039621195684047,242.01901306834537,58584.775374662175
0.5,90,0.052,0.1267,685.96,5430000,42900000000,0.1267,685.9439471100001,26.190531630915782,302.23588914091573,91170.04659708402
0.6,224,0.3,0.002574,0.036621,0.67102,12.309,0.002574,0.036614374524,0.1913488294293958,95.7359374969578,9176.47221064027
0.1,90,Inf,0.077227,0.2212,1.8833,20.19,0.077227,0.215235990471,0.46393533005258397,18.35624331477701,423.4299787585385
1,90,0.3,0.11236,1.1261,17.335,282.61,0.11236,1.1134752304000002,1.055213357762306,14.433120074898838,221.72751544646815
0.7,224,0.052,0.0028561,0.31273,44.529,6342.3,0.0028561,0.31272184269279,0.5592153813091965,254.61236043663004,64847.83968925397
0.2,90,0.052,0.1176,517.74,3810000,28000000000,0.1176,517.72617024,22.753596863792765,323.41039661921155,104455.18339837927
0.1,90,0.3,0.061252,0.069867,0.24338,1.1379,0.061252,0.066115192496,0.2571287469265154,13.58820862346067,247.0250448076981
0.5,398,Inf,3.68e-4,0.0063559,0.13341,2.8013,3.68e-4,0.006355764576,0.07972304921413882,263.27755632280764,69341.55417525944
0.2,224,Inf,0.0026916,0.039016,0.76384,14.978,0.0026916,0.03900875528944,0.19750634240307322,99.10147493894607,9837.645550855104
1.5,398,0.052,3.8321e-4,0.0059338,0.11156,2.1004,3.8321e-4,0.005933653150095901,0.07703020933436375,244.0611845078909,59651.63323008134
0.9,398,Inf,3.8344e-4,0.0064432,0.12925,2.5935,3.8344e-4,0.0064430529737663994,0.08026863007281487,249.90105757578687,62469.73330551382
0.5,224,0.052,0.0027424,0.30355,43.911,6353,0.0027424,0.30354247924224,0.5509468933048266,262.55446722687554,68945.6662503398
0.1,398,0.052,2.7479e-4,0.0032549,0.058006,1.0344,2.7479e-4,0.0032548244904558998,0.05705106914384602,312.3643526019178,97635.23874713734
0.4,224,0.052,0.0026809,0.28897,41.585,5986.1,0.0026809,0.28896281277519,0.5375526139599639,267.70069555075594,71684.90299694154
0.3,90,0.052,0.12261,627.27,4910000,38500000000,0.12261,627.2549667879,25.04505872997506,312.5323089490819,97846.51178468633
0.05,224,0.052,0.0017374,0.0016633,0.020228,0.36438,0.0017374,0.0016602814412399998,0.0407465512803231,298.8783297017589,132136.73122130506
1.5,224,0.052,0.0034163,0.403,58.417,8471,0.0034163,0.40298832889431,0.6348136174455539,228.33360866009392,52156.545346115556
0.8,90,Inf,0.091074,0.61825,7.4973,97.048,0.091074,0.609955526524,0.7809964958461721,15.386869822287784,253.59065918567617
1.5,90,0.052,0.15181,996.9,8550000,73300000000,0.15181,996.8769537239,31.573358290240524,271.63186716752915,73754.76798174264
0.05,398,Inf,2.2202e-4,0.0010055,0.010857,0.11782,2.2202e-4,0.0010054507071196,0.0317088427275358,340.51940998785796,116536.48360784806
0.8,224,Inf,0.0029809,0.04458,0.83764,15.759,0.0029809,0.04457111423519,0.21111872071228074,88.97550302020001,7927.685371020382
0.9,224,0.3,0.0028049,0.041143,0.75132,13.729,0.0028049,0.04113513253599,0.20281797882828337,90.0130455803836,8108.610304761767
0.4,224,Inf,0.0029263,0.046261,0.92914,18.681,0.0029263,0.04625243676831,0.21506379697268901,93.36613579928985,8727.262256737997
0.8,398,0.052,3.3341e-4,0.0049036,0.091143,1.6948,3.3341e-4,0.0049034888377719,0.07002491583552171,265.42520514637704,70481.79000461013
1.5,224,0.3,0.0034105,0.054101,1.0222,19.34,0.0034105,0.05408936848975,0.23257121165301178,81.21435587694248,6605.709601319306
0.2,224,0.052,0.0025787,0.2683,39.08,5695.9,0.0025787,0.26829335030630996,0.5179704145086956,281.2008477789432,79124.65017904219
0.3,224,Inf,0.0028377,0.043589,0.86962,17.373,0.0028377,0.04358094745871,0.20876050263090956,95.54306788294774,9141.863073256003
0.3,224,0.3,0.0025063,0.035881,0.68596,13.132,0.0025063,0.035874718460310005,0.1894062260336497,100.91255897943874,10198.268164030284
2,224,0.3,0.0038123,0.061927,1.1844,22.705,0.0038123,0.061912466368710006,0.24882215811440508,76.83719508037919,5918.6109544605415
1,90,Inf,0.096918,0.67696,8.2384,106.02,0.096918,0.667566901276,0.8170476738085728,14.746774370051192,230.82040589484797
0.8,224,0.052,0.0029575,0.33361,48.161,6953.9,0.0029575,0.33360125319375,0.5775822479904918,249.9351245548793,62479.49510665907
1,224,0.3,0.0028953,0.0423,0.76755,13.941,0.0028953,0.042291617237909994,0.20564925781025808,88.20989897215681,7789.478835478301
0.7,90,0.3,0.094711,0.69751,9.1793,131.87,0.094711,0.6885398264789999,0.829782999632434,15.722398013866629,270.8991208258566
0.3,224,0.052,0.0025675,0.26547,37.665,5345.1,0.0025675,0.26546340794375,0.5152314120312833,275.3641486189645,75842.92503421726
0.4,224,0.3,0.0026207,0.039502,0.76851,14.966,0.0026207,0.039495131931510004,0.19873382181075772,97.87204173133469,9589.25369277612
0.1,224,0.3,0.0022153,0.024475,0.42167,7.2842,0.0022153,0.02447009244591,0.15642919307440667,110.11633557741871,12158.719839867152
3,90,Inf,0.17234,2.2386,40.454,761.98,0.17234,2.2088989244,1.4862364967931585,11.973037025300705,150.53363869994968
1,224,Inf,0.0030968,0.046454,0.86381,16.077,0.0030968,0.04644440982976,0.21550965136104694,86.25833046915648,7448.160762863613
2,398,Inf,5.3647e-4,0.010022,0.21023,4.4109,5.3647e-4,0.0100217121999391,0.10010850213612778,209.53109337277826,43913.58974413915
0.8,90,0.052,0.13793,825.24,6800000,56100000000,0.13793,825.2209753151,28.726659661629647,286.834717766906,82374.59663441856
0.4,398,0.052,2.9691e-4,0.0041375,0.076124,1.4014,2.9691e-4,0.0041374118444519,0.06432271639515778,286.0272724836428,81860.91387295982
0.5,398,0.052,3.0716e-4,0.0043494,0.080143,1.477,3.0716e-4,0.0043493056527344,0.06594926574825834,279.3920102569123,78074.9443628043
0.7,90,Inf,0.092176,0.56482,6.7191,88.723,0.092176,0.556323585024,0.7458710243896058,15.820090917152376,278.7571962819962
2,90,0.052,0.15433,1026.9,8870000,76700000000,0.15433,1026.8761822511,32.044908835119195,269.53999724658195,72732.44676084799
0.9,90,0.3,0.10962,1.0319,15.797,261.36,0.10962,1.0198834556,1.0098927941123257,15.010378508964273,244.68037971818433
